SEMILLA_USADA,55044
Tiempo (t),Celdas Totales,Vacías,Vehículos Activos
0,200,191,9
5,200,191,9
10,200,191,9
15,200,191,9
20,200,191,9
25,200,191,9
30,200,191,9
35,200,191,9
40,200,191,9
45,200,191,9
50,200,191,9
55,200,191,9
60,200,191,9
65,200,191,9
70,200,191,9
75,200,191,9
80,200,191,9
85,200,191,9
90,200,191,9
95,200,191,9
100,200,191,9
105,200,191,9
110,200,191,9
115,200,191,9
120,200,191,9
125,200,191,9
130,200,191,9
135,200,191,9
140,200,191,9
145,200,191,9
