SEMILLA_USADA,55044
Tiempo (t),Celdas Totales,Vacías,Vehículos Activos
0,200,17,183
5,200,17,183
10,200,17,183
15,200,17,183
20,200,17,183
25,200,17,183
30,200,17,183
35,200,17,183
40,200,17,183
45,200,17,183
50,200,17,183
55,200,17,183
60,200,17,183
65,200,17,183
70,200,17,183
75,200,17,183
80,200,17,183
85,200,17,183
90,200,17,183
95,200,17,183
100,200,17,183
105,200,17,183
110,200,17,183
115,200,17,183
120,200,17,183
125,200,17,183
130,200,17,183
135,200,17,183
140,200,17,183
145,200,17,183
